response_id,question,answer
1,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
1,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
1,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
1,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
1,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
1,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
1,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
1,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
1,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
1,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
1,What kind of support do you wish you had more of?,I wish we had more help with childcare.
1,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
1,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
1,How would you describe your living conditions?,The neighborhood isn’t great and it’s hard to feel safe.
2,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
2,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
2,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
2,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
2,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
2,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
2,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
2,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
2,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
2,"Do you have a support system of friends, family, or community?","No, my family is far away and we’re not very close."
2,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
2,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
2,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
2,How would you describe your living conditions?,The neighborhood isn’t great and it’s hard to feel safe.
3,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
3,Tell us about yourself.,I practice yoga and meditation to stay grounded.
3,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
3,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
3,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
3,Are you currently looking for work?,"Yes, every week I’m sending out applications."
3,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
3,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
3,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
3,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
3,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
3,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
3,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
3,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
4,Tell us where you’re currently living.,I’m currently living in upstate New York.
4,Tell us about yourself.,I practice yoga and meditation to stay grounded.
4,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
4,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
4,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
4,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
4,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
4,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
4,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
4,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
4,What kind of support do you wish you had more of?,I wish we had more help with childcare.
4,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
4,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
4,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
5,Tell us where you’re currently living.,I’m currently living in upstate New York.
5,Tell us about yourself.,I love reading mystery novels when I get the chance.
5,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
5,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
5,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
5,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
