response_id,question,answer
1,Tell us where you’re currently living.,I’m currently living in western North Carolina.
1,Tell us about yourself.,I enjoy drawing and used to dream of being an artist.
1,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
1,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
1,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
1,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
1,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
1,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
1,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
1,"Do you have a support system of friends, family, or community?",I don’t have much of a support system these days.
1,What kind of support do you wish you had more of?,More job support or training would really help.
1,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
1,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
1,What’s your biggest concern about work?,I’ve been laid off more times than I can count.
2,Tell us where you’re currently living.,I’m currently living in southern Missouri.
2,Tell us about yourself.,"I'm a single dad, I enjoy cooking and playing basketball with my son."
2,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
2,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
2,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
2,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
2,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
2,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
2,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
2,"Do you have a support system of friends, family, or community?","No, it feels like I’m pretty much on my own."
2,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
2,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
2,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
2,What’s your biggest concern about work?,"I get work sometimes, but it never lasts long."
3,Tell us where you’re currently living.,I’m currently living in upstate New York.
3,Tell us about yourself.,I’m into fitness and like to run when I can.
3,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
3,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
3,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
3,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
3,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
3,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
3,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
3,"Do you have a support system of friends, family, or community?","Not really, most people I know are dealing with their own problems."
3,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
3,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
3,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
3,What’s your biggest concern about work?,The jobs I find don’t offer enough hours or benefits.
4,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
4,Tell us about yourself.,"I’m a movie buff, love classic films and thrillers."
4,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
4,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
4,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
4,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
4,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
4,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
4,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
4,"Do you have a support system of friends, family, or community?","Not really, most people I know are dealing with their own problems."
4,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
4,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
4,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
4,What’s your biggest concern about work?,"I get work sometimes, but it never lasts long."
5,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
5,Tell us about yourself.,I enjoy drawing and used to dream of being an artist.
5,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
5,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
5,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
5,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
5,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
5,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
5,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
5,"Do you have a support system of friends, family, or community?","No, I don’t really have anyone I can lean on right now."
5,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
5,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
5,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
5,What’s your biggest concern about work?,"I get work sometimes, but it never lasts long."
6,Tell us where you’re currently living.,I’m currently living in central Illinois.
6,Tell us about yourself.,"I’m a mother of two, love reading and doing hair on the side."
6,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
6,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
6,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
6,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
6,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
6,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
6,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
6,"Do you have a support system of friends, family, or community?","Not really, most people I know are dealing with their own problems."
6,What kind of support do you wish you had more of?,More job support or training would really help.
6,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
6,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
6,What’s your biggest concern about work?,"Jobs come and go, nothing seems stable around here."
7,Tell us where you’re currently living.,I’m currently living in western North Carolina.
7,Tell us about yourself.,"I’m a movie buff, love classic films and thrillers."
7,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
7,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
7,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
7,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
7,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
7,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
7,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
7,"Do you have a support system of friends, family, or community?",I don’t have much of a support system these days.
7,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
7,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
7,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
7,What’s your biggest concern about work?,The jobs I find don’t offer enough hours or benefits.
8,Tell us where you’re currently living.,I’m currently living in central Illinois.
8,Tell us about yourself.,I enjoy fixing up old cars and watching documentaries.
8,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
8,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
8,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
8,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
8,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
8,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
8,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
8,"Do you have a support system of friends, family, or community?","No, I don’t really have anyone I can lean on right now."
8,What kind of support do you wish you had more of?,More job support or training would really help.
8,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
8,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
8,What’s your biggest concern about work?,"Jobs come and go, nothing seems stable around here."
9,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
9,Tell us about yourself.,"I’m a mother of two, love reading and doing hair on the side."
9,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
9,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
9,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
9,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
9,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
9,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
9,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
9,"Do you have a support system of friends, family, or community?",I don’t have much of a support system these days.
9,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
9,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
9,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
9,What’s your biggest concern about work?,I’ve been laid off more times than I can count.
10,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
10,Tell us about yourself.,"I’m a movie buff, love classic films and thrillers."
10,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
10,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
10,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
