response_id,question,answer
1,Tell us where you’re currently living.,I’m currently living in western North Carolina.
1,Tell us about yourself.,"I’m a family guy, worked in factories most of my life."
1,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
1,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
1,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
1,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
1,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
1,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
1,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
1,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
1,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
1,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
1,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
2,Tell us where you’re currently living.,I’m currently living in northern Georgia.
2,Tell us about yourself.,"I'm a father of three, been working in retail for most of my life."
2,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
2,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
2,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
2,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
2,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
2,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
2,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
2,"Do you have a support system of friends, family, or community?","Friends and neighbors have been supportive, but they have their own struggles."
2,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
2,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
2,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
3,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
3,Tell us about yourself.,"I'm a stay-at-home mom, but looking to get back into the workforce."
3,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
3,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
3,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
3,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
3,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
3,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
3,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
3,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
3,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
3,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
3,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
4,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
4,Tell us about yourself.,"I used to do warehouse work, now just looking for anything steady."
4,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
4,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
4,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
4,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
4,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
4,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
4,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
4,"Do you have a support system of friends, family, or community?","Friends and neighbors have been supportive, but they have their own struggles."
4,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
4,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
4,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
5,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
5,Tell us about yourself.,"I'm a father of three, been working in retail for most of my life."
5,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
5,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
5,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
5,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
5,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
5,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
5,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
5,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
5,What kind of support do you wish you had more of?,I wish we had more help with childcare.
5,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
5,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
6,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
6,Tell us about yourself.,"I'm a single mom, trying to keep things together for my kids."
6,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
6,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
6,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
6,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
6,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
6,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
6,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
6,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
6,What kind of support do you wish you had more of?,More job support or training would really help.
6,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
6,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
7,Tell us where you’re currently living.,I’m currently living in northern Georgia.
7,Tell us about yourself.,"I'm a handyman by trade, but work has dried up recently."
7,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
7,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
7,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
7,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
7,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
